PERMNO,REPDATS,STATPERS,qtr,year,FPEDATS,RETURNLead,sector,RETP1,RET2P1,SIZE,frev,LTG,SUELag,SGLag,TALag,CAPEXLag,BPLag,EPLag,anFor,anForLag,FE,FELag,actual,CONSENSUS,label,newSTATPERS
P11607,2/13/2001,1/18/2001,4,2000,12/31/2000,-0.07708779,25,0.035333456,0.150913327,7.72505,-5.30E-02,9.11,3.16E-01,9.51E-01,-2.78E-02,-1.66E-02,7.296078109,0.122553191,-8,-4,-0.894736842,-0.374045802,0.01,0.18,1,3/29/2000
P11607,2/13/2002,1/17/2002,4,2001,12/31/2001,0.273785144,25,-0.253545217,0.605817741,7.631236,-3.99E-02,9.25,-1.09E+00,1.15E+00,-1.75E-04,2.64E-02,2.714465403,0.114883721,0,0,-0.2,-0.285714286,-0.09,-0.06,1,3/29/2001
P11607,2/12/2003,1/16/2003,4,2002,12/31/2002,-0.204271123,25,-0.167086396,0.452327071,7.465679,-2.23E-04,9.33,-1.35E+00,9.40E-01,-9.47E-02,8.44E-02,0.896005154,0.007088608,-2,-1,-0.022222222,-0.043478261,0.22,0.23,1,3/28/2002
P11607,2/11/2004,1/15/2004,4,2003,12/31/2003,0.034134623,25,0.19638856,0.375790473,7.911069,2.56E-03,10.14,4.35E-01,1.00E+00,-1.69E-01,-1.16E-02,2.484122563,0.067058824,-1,-1,0.025,0.074074074,0.41,0.39,-1,4/4/2003
P11674,1/27/1997,12/19/1996,4,1996,12/31/1996,-0.03088803,55,0.024103744,-0.134818155,8.454948,-2.95E-04,2.68,-1.10E+00,1.03E+00,-2.99E-04,NA,2.376368228,0.080892193,-3,-2,-0.107438017,-0.084745763,0.54,0.67,1,4/2/1996
P11674,1/26/1998,12/18/1997,4,1997,12/31/1997,0.034234233,55,0.214166831,-0.195341812,8.523774,-1.60E-03,2.57,1.60E+00,1.07E+00,-2.14E-02,NA,3.053008367,0.092413793,-1,-1,0.186666667,-0.037037037,0.89,0.61,-1,4/8/1997
P11674,1/27/1999,12/17/1998,4,1998,12/31/1998,0.065040648,55,0.051820711,0.10723967,8.739876,1.77E-03,2.98,1.69E+00,1.04E+00,-2.28E-02,NA,2.800115818,0.112388664,0,-2,-0.026666667,0,0.73,0.77,1,4/7/1998
P11674,1/26/2000,12/16/1999,4,1999,12/31/1999,0.098814227,55,-0.295409312,-0.10072744,8.430964,2.76E-03,4.29,1.30E+00,1.15E+00,-6.06E-03,NA,2.712934576,0.09814433,0,0,-0.035971223,-0.035971223,0.67,0.72,1,4/8/1999
P11674,1/24/2001,12/14/2000,4,2000,12/31/2000,-0.09367574,55,0.247391447,-0.017830157,8.622359,-6.34E-04,5.08,-3.98E-01,1.16E+00,-2.39E-02,NA,3.158212892,0.109090909,0,0,-0.005128205,-0.005128205,0.97,0.98,1,4/6/2000
P11674,2/11/2002,1/17/2002,4,2001,12/31/2001,0.010243858,55,-0.062011969,0.151282734,8.818476,-2.13E-03,7.1,-1.00E+00,1.08E+00,1.85E-02,NA,2.061806226,0.059465738,0,-1,-0.006944444,-0.310810811,1.43,1.45,1,4/5/2001
P11674,2/11/2003,1/16/2003,4,2002,12/31/2002,-0.011450372,55,-0.018553693,-0.073734588,8.958056,7.76E-04,6.78,-1.13E+00,1.80E+00,-1.49E-02,NA,3.141850762,0.073997413,0,-1,-0.020242915,-0.020242915,1.21,1.26,1,4/4/2002
P11674,2/5/2004,1/15/2004,4,2003,12/31/2003,0.034782626,55,0.084190526,-0.156786767,8.801336,-9.10E-03,3.87,NA,1.39E+00,-1.60E-02,NA,1.575829231,0.067557716,0,-1,-0.020833333,-0.146496815,0.94,0.98,1,4/12/2003
P11703,1/29/1997,12/19/1996,4,1996,12/31/1996,0.16467464,15,0.081716976,0.037355153,10.878874,3.13E-03,9.63,-7.19E-01,1.08E+00,-2.32E-02,7.94E-02,1.736159806,0.050402145,1,-2,-0.006535948,0.076923077,0.76,0.77,1,4/4/1996
P11703,1/28/1998,12/18/1997,4,1997,12/31/1997,-0.057232048,15,-0.159508254,0.142044518,11.124922,8.14E-04,10.67,-1.29E+00,9.03E-01,8.84E-03,5.30E-03,0.65517248,0.056690816,1,-5,-0.00591716,0,0.84,0.85,1,4/3/1997
P11703,1/27/1999,12/17/1998,4,1998,12/31/1998,-0.03533569,15,-0.417525101,0.068756533,10.998062,-1.03E-02,9.91,-2.79E-02,9.34E-01,1.86E-02,-1.25E-02,0.983724635,0.029941468,-13,-11,0,0.007518797,0.6,0.6,1,4/2/1998
P11703,1/26/2000,12/16/1999,4,1999,12/31/1999,-0.104364328,15,-0.123636601,0.180159717,11.139656,-9.30E-04,10.08,5.70E-01,1.19E+00,-3.79E-02,-1.24E-02,1.034231439,0.087582938,-2,0,0,0,0.55,0.55,1,4/7/1999
P11703,1/24/2001,12/14/2000,4,2000,12/31/2000,-0.095265217,15,0.18672578,-0.384808593,10.824023,-4.19E-03,10.11,1.36E+00,7.01E-01,5.50E-03,-6.20E-02,0.668893603,0.030155535,-3,-8,-0.050505051,-0.028571429,0.47,0.52,1,4/5/2000
P11703,1/23/2002,12/20/2001,4,2001,12/31/2001,0.039049633,15,-0.071160186,0.052183612,10.659446,-1.84E-02,9.25,-3.00E-01,1.15E+00,1.42E-02,-4.03E-02,1.282424979,0.059701493,-1,-7,0.043478261,0.090909091,0.12,0.11,-1,4/4/2001
P11703,1/28/2003,12/19/2002,4,2002,12/31/2002,-0.106839679,15,0.066780524,0.160873208,10.648825,5.32E-03,9.18,1.35E+00,1.10E+01,2.62E-01,1.22E-01,1.42550242,0.05493188,-1,-7,0.014925373,0.15942029,0.34,0.33,-1,4/3/2002
P11703,1/27/2004,12/18/2003,4,2003,12/31/2003,0.017290372,15,0.024393774,-0.072677674,10.731283,-5.09E-03,8.33,-7.38E-01,1.42E+00,4.16E-02,4.29E-02,2.212280622,0.164132841,0,0,0.074074074,0.074074074,0.29,0.25,-1,4/9/2003
P11754,1/16/1997,12/19/1996,4,1996,12/31/1996,0.080996886,25,-0.0650053,0.056496795,10.189806,1.12E-03,11.55,-5.45E-01,9.91E-01,-4.15E-02,-3.22E-02,1.763215136,0.060866892,-1,-1,0.034782609,-0.004081633,1.19,1.11,-1,3/27/1996
P11754,1/15/1998,12/18/1997,4,1997,12/31/1997,0.077399381,25,-0.342189512,-0.180803373,9.881527,-2.17E-02,10,8.63E-02,1.54E+00,7.08E-02,4.01E-02,1.724342908,-0.025919003,-2,-3,0.006622517,-0.241706161,0.76,0.75,-1,3/26/1997
P11754,1/14/1999,12/17/1998,4,1998,12/31/1998,-0.092013888,25,-0.075246637,0.089792072,10.053693,5.57E-03,11.16,-1.54E+00,1.02E+00,-4.86E-02,7.48E-02,1.422286046,0.026504559,-1,6,-0.049773756,0.008333333,1.05,1.16,1,3/25/1998
P11754,1/24/2000,12/16/1999,4,1999,12/31/1999,-0.066037737,25,-0.069191887,-0.098937768,9.931365,2.80E-04,10.11,-9.24E-01,9.18E-01,-1.07E-01,-9.57E-02,1.403428394,0.075708197,0,0,0.086956522,0.003460208,1.5,1.26,-1,3/27/1999
P11754,1/17/2001,12/14/2000,4,2000,12/31/2000,0.107809499,25,-0.31293195,-0.117228755,9.344683,-1.72E-02,8.75,-8.03E-01,1.22E+00,-2.85E-02,1.60E-02,0.74675977,0.011621053,-7,-4,-0.00729927,-0.066666667,0.68,0.69,1,3/28/2000
